station_id	stationname	date	daytype	rides
41280	Jefferson Park	12/22/2017	W	6104
41000	Cermak-Chinatown	12/18/2017	W	3636
40280	Central-Lake	12/02/2017	A	1270
40140	Dempster-Skokie	12/19/2017	W	1759
40690	Dempster	12/03/2017	U	499
41660	Lake/State	12/30/2017	A	8615
40180	Oak Park-Forest Park	12/17/2017	U	442
40250	Kedzie-Homan-Forest Park	12/02/2017	A	1353
40120	35th/Archer	12/07/2017	W	3353
41420	Addison-North Main	12/19/2017	W	6034
40270	Main	12/16/2017	A	887
41450	Chicago/State	12/27/2017	W	9639
41210	Wellington	12/07/2017	W	3210
40010	Austin-Forest Park	12/03/2017	U	641
41160	Clinton-Lake	12/31/2017	U	621
40720	East 63rd-Cottage Grove	12/26/2017	W	613
40330	Grand/State	12/21/2017	W	10683
40540	Wilson	12/22/2017	W	4861
40420	Cicero-Cermak	12/02/2017	A	932
40260	State/Lake	12/06/2017	W	12646
40130	51st	12/04/2017	W	1049
40450	95th/Dan Ryan	12/04/2017	W	10611
40560	Jackson/State	12/04/2017	W	8365
40200	Randolph/Wabash	12/25/2017	U	0
40690	Dempster	12/24/2017	U	326
41020	Logan Square	12/18/2017	W	7095
40100	Morse	12/31/2017	U	2486
40490	Grand/Milwaukee	12/19/2017	W	2583
40990	69th	12/31/2017	U	2437
41310	Paulina	12/10/2017	U	1001
41450	Chicago/State	12/14/2017	W	14262
40090	Damen-Brown	12/18/2017	W	2813
40370	Washington/Dearborn	12/23/2017	A	6744
41290	Kimball	12/31/2017	U	1458
40010	Austin-Forest Park	12/28/2017	W	1155
40380	Clark/Lake	12/20/2017	W	20358
40090	Damen-Brown	12/14/2017	W	3005
40770	Lawrence	12/21/2017	W	2958
41030	Polk	12/23/2017	A	510
40720	East 63rd-Cottage Grove	12/27/2017	W	708
41230	47th-Dan Ryan	12/13/2017	W	2889
40800	Sedgwick	12/11/2017	W	3825
40580	54th/Cermak	12/20/2017	W	2088
40290	Ashland/63rd	12/06/2017	W	1177
41510	Morgan-Lake	12/22/2017	W	2425
41490	Harrison	12/30/2017	A	1627
40080	Sheridan	12/07/2017	W	5232
40470	Racine	12/04/2017	W	2611
40730	Washington/Wells	12/16/2017	A	1256
40040	Quincy/Wells	12/03/2017	U	1142
41160	Clinton-Lake	12/22/2017	W	2905
40520	Foster	12/12/2017	W	668
